Name	RA	DEC	GAMMA	GAMMAE
V458_Vul	298.602542	20.881278	-53.2	5
T_CrB	239.875667	25.920167	-29	10
PX_And	7.524208333	26.29066667	-18.3	24.8
FO_And 	18.88404167	37.62647222	48	3
TY_Psc 	21.41395833	32.38583333	-29	4
TT_Tri 	22.99941667	29.82280556	69	1
TW_Tri 	24.15420833	32.01108333	-24	4
AY_Psc 	24.23104167	7.274805556	67	17
AR_And 	26.263625	37.94261111	-4.5	5
AI_Tri 	30.95254167	29.9905	-83	16
TT_Ari 	31.72433333	15.29494444	11	5
HS_0218+3229 	35.38954167	32.72333333	-54.2	2.9
HS_0220+0603 	35.75691667	6.280444444	-88	16
RW_Tri 	36.400625	28.09747222	-11	15
WX_Ari 	41.90091667	10.59380556	-34	14
V1062_Tau 	75.6145	24.75644444	21	11
V1309_Ori 	78.92254167	1.077916667	16	6
V1193_Ori 	79.111125	0.203972222	73	4.2
J051814+294113 	79.55970833	29.68694444	18	15
BI_Ori 	80.96570833	1.0085	24	9
T_Aur 	82.99633333	30.44583333	50	25
V363_Aur 	83.38945833	36.99238889	22	10
FS_Aur 	86.9515	28.58641667	60	7
V344_Ori 	93.82895833	15.51647222	-27	3
CZ_Ori 	94.180125	15.40313889	-8.4	3.4
J0644+3344 	101.1431667	33.74905556	-113.7	5
IR_Gem 	101.8945	28.10619444	30	19
V418_Gem 	106.0361667	26.41955556	65	9
BG_CMi 	112.870875	9.93975	33	13
J07381772+2855198 	114.573875	28.92219444	79	14
PQ_Gem 	117.8221667	14.73997222	77	23
U_Gem 	118.7718333	22.00141667	40.2	4
SDSS0756	119.2212917	8.9755	33	12
SDSS_J075653.11+085831.8 	119.2213333	8.9755	119.28	7
DW_Cnc 	119.7210417	16.27922222	32.5	5
SDSS0805(abs)	121.3937083	7.341416667	32	9
SDSS0805(emn)	121.3937083	7.341416667	-9	14
SDSS0809	122.2849583	38.23505556	55	10
J08090840+3814061	122.285	38.23502778	47.5	1
YZ_Cnc 	122.7360417	28.14263889	10	6
SDSS0812	123.236875	19.19938889	0	9
J08135201+2813174 	123.46675	28.22152778	-44	1
SDSS0813	123.46675	28.22147222	-84	9
AT_Cnc 	127.1538333	25.33416667	11	3
CC_Cnc 	129.0797917	21.35147222	8	4
SDSS0844(V495_Hya)	131.0004167	2.655361111	54	4
AC_Cnc 	131.1129583	12.87552778	78	10
AK_Cnc 	133.83825	11.30425	125	2
GY_Cnc 	137.460625	18.82986111	16	9
GZ_Cnc 	138.9653333	9.013777778	22	5
SDSS0916(HH_Cnc)	139.2115833	28.82880556	8	2
SDSS0919(LV_Cnc)	139.9379583	8.952777778	73	6
BK_Lyn 	140.0466667	33.94508333	-9.8	11.5
SDSS0922[MDM]	140.6219167	33.12877778	20	5
SDSS0922[WHT]	140.6219167	33.12877778	76	4
HU_Leo 	141.1852917	8.030833333	72.5	4.2
HS0922+1333 	141.23375	13.34777778	-73	12
HM_Leo 	144.6540833	7.248638889	-20	5
VZ_Sex 	146.132125	3.968222222	76	7
SDSS0945	146.4926667	29.38144444	5	17
X_Leo 	147.7561667	11.87538889	18	3
SDSS_J100658.40+233724.4 	151.7434167	23.6235	-20	10
SDSS1019(AC_LMi)	154.9469167	33.96488889	19	6
SDSS1028(Leo5)	157.000375	21.80375	-75	9
SX_LMi 	163.62675	30.10283333	-105.5	7.5
IU_Leo 	164.4845833	9.3875	-3	3
ST_LMi 	166.4157083	25.10791667	50	18
RZ_Leo 	174.3427917	1.81625	-25	2
QZ_Vir 	174.61175	3.368611111	44	20
IR_Com 	189.8834167	21.13505556	6.9	4.4
SDSS1244	191.0745417	30.06694444	-8	8
CRTS_CSS100531_J134052+151341 	205.2166667	15.22805556	-10	4
SDSS1504(Boo1)	226.174	8.797944444	19	4
QW_Ser 	231.5582917	8.300611111	10	6
SDSS1536	234.1434167	33.48108333	-107	8
2MASS_J15445360+2553488 	236.223375	25.89688889	11	6
CT_Ser 	236.4128333	14.3755	2	7
MR_Ser 	238.1966667	18.94136111	-20	12
AP_CrB 	238.5514583	27.36455556	10	8
SDSS1556(V493_Ser)	239.1842917	0.163972222	-31	6
QZ_Ser 	239.2269583	21.12194444	-14.5	4
SDSS1610(V519_Ser)	242.5312083	3.875888889	17	5
SDSS1619(abs)	244.7879167	13.86263889	79	7
SDSS1619(emn)	244.7879167	13.86263889	19	8
V849_Her 	248.9405	11.41613889	-11	12
V1084_Her 	250.9404167	34.04436111	-28	9
AH_Her 	251.0417083	25.25055556	-2.5	1.5
SDSS1653(V1227_Her)	253.4960833	20.16955556	-1	4
SDSS1656(V1229_Her)	254.2422083	21.36091667	-15	3
SDSS1659	254.965375	19.46266667	-15	12
J17021325+3229542 	255.5552083	32.49841667	12.5	4.5
V795_Her 	258.2340833	33.52202778	33.1	9.5
CRTS_CSS100707_J172952+220808 	262.4666667	22.13555556	-11	7
V380_Oph 	267.5567917	6.091472222	-83	20
V426_Oph 	271.965375	5.863305556	-11	1.4
V2779_Oph 	272.1492417	10.17494444	-102	9.5
LL_Lyr 	278.8034167	38.33455556	-35	4
V603_Aql 	282.2276667	0.584138889	-23	4
CY_Lyr 	283.1724167	26.75875	-28	5
V1315_Aql 	288.4772083	12.30088889	38	11
FO_Aql 	289.1589167	0.127111111	-33	4
V587_Lyr 	289.3603333	37.17802778	-22	5
IGR_J19267+1325 	291.6125	13.36802778	17	5
V792_Cyg 	292.7540833	33.78441667	-11	5
V795_Cyg 	293.6420417	31.53663889	13	5
EM_Cyg 	294.6671667	30.50788889	-40	5
V811_Cyg 	297.0970833	36.43980556	-11	8
RX_J1951.7+3716 	297.9479167	37.27991667	-23.5	5.5
PQ_Aql 	298.2777917	12.98347222	48	18
RZ_Sge 	300.8269583	17.04775	-43	4
QQ_Vul 	301.424625	22.66630556	-9.4	7.2
WZ_Sge 	301.9020833	17.70411111	-62.9	5.6
CM_Del 	306.2372083	17.29844444	23	20
AE_Aqr 	310.0381667	0.870861111	-58.7	3
HR_Del 	310.5847917	19.16091667	-17	6
2MASS_J20482791+0050089 	312.1163333	0.835833333	-29.87	3.54
VW_Vul 	314.4377917	25.50713889	6.5	12.5
V388_Peg 	329.3846667	8.920777778	59	12
RU_Peg 	333.510625	12.70313889	5	4
Swift_J2218.4+1925 	334.6365	19.42236111	25	16
HL_Aqr 	335.1122083	2.014833333	-8	12
J22214479+1840083 	335.4366667	18.669	18	4
J22343993+0041269 	338.6664167	0.690833333	2	0.3
V405_Peg 	347.4547583	21.58816667	-23	2
IP_Peg 	350.785625	18.41647222	43	8
V378_Peg 	355.017875	30.29652778	-3.4	2
HX_Peg 	355.09875	12.62827778	-6.2	21.8
